mergeid,time,consumption_homefood,consumption_outhome,country,educ_year,job,exret,gender,hhsize,int_year,partnerinhh,yrbirth,gender_Female,gender_Male,job_Employed or self-employed (including working for family business),job_Homemaker,job_Permanently sick or disabled,job_Retired,job_Unemployed,country_Austria,country_Belgium,country_Denmark,country_France,country_Germany,country_Greece,country_Israel,country_Italy,country_Spain,country_Sweden,country_Switzerland,country_Austria,country_Belgium,country_Denmark,country_France,country_Germany,country_Greece,country_Israel,country_Italy,country_Spain,country_Sweden,country_Switzerland
AT-000327-02,2004,1.8269026656007323,0.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2004.0,1,1955.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-000327-02,2006,1.8098036203900951,100.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2007.0,1,1955.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2004,1.611562712266506,50.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2004.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2006,1.7411295468056076,250.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,2,2007.0,1,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2013,1.790335880924894,150.0,Austria,12.0,Retired,65.0,Male,1,2013.0,0,1946.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2015,1.611562712266506,0.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2015.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2017,1.6673892921414593,30.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2017.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2004,1.790335880924894,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004.0,1,1947.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2006,1.8558181338804391,200.0,Austria,12.0,Retired,62.0,Male,2,2007.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2011,1.7411295468056076,10.0,Austria,12.0,Retired,62.0,Male,2,2011.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2013,1.8558181338804391,20.0,Austria,12.0,Retired,62.0,Male,2,2013.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2015,1.8269026656007323,20.0,Austria,12.0,Retired,62.0,Male,2,2015.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2017,1.7411295468056076,50.0,Austria,12.0,Retired,62.0,Male,1,2017.0,0,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2004,1.790335880924894,0.0,Austria,15.0,Employed or self-employed (including working for family business),58.0,Female,3,2004.0,0,1952.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2006,1.790335880924894,200.0,Austria,15.0,Employed or self-employed (including working for family business),58.0,Female,4,2006.0,0,1952.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2011,1.790335880924894,100.0,Austria,15.0,Employed or self-employed (including working for family business),58.0,Female,2,2011.0,0,1952.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2013,1.6673892921414593,50.0,Austria,15.0,Retired,58.0,Female,2,2013.0,0,1952.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2015,1.7411295468056076,70.0,Austria,15.0,Retired,58.0,Female,2,2015.0,0,1952.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020895-01,2017,1.7411295468056076,100.0,Austria,15.0,Retired,58.0,Female,2,2017.0,0,1952.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-023465-01,2004,1.790335880924894,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Female,1,2004.0,0,1953.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-024225-02,2004,1.790335880924894,130.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2004.0,1,1958.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-024225-02,2006,1.8796299726944552,200.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2007.0,1,1958.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-027751-01,2004,1.6673892921414593,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004.0,1,1948.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-027751-01,2011,1.7411295468056076,50.0,Austria,12.0,Retired,62.0,Male,2,2011.0,1,1948.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-053405-01,2004,1.8558181338804391,100.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,2,2004.0,1,1950.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-053405-01,2006,1.790335880924894,100.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,2,2007.0,1,1950.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-066159-01,2004,1.8998081277404202,200.0,Austria,11.0,Employed or self-employed (including working for family business),65.0,Male,2,2004.0,1,1951.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-085347-01,2004,1.8269026656007323,500.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,4,2004.0,1,1952.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-096872-01,2004,1.8998081277404202,150.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,2,2004.0,1,1952.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-096872-01,2011,1.9326447339160655,150.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,5,2011.0,1,1952.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
