mergeid,time,co002e,co003e,country,educ_year,ep005_,ep106_1,gender,hhsize,int_year,partnerinhh,yrbirth
AT-000327-02,2004,500.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2004,Yes,1955
AT-000327-02,2006,450.0,100.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2007.0,Yes,1955.0
AT-011464-01,2004,150.0,50.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2004,No,1946
AT-011464-01,2006,300.0,250.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1946.0
AT-011464-01,2011,,50.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2011.0,No,1946.0
AT-011464-01,2013,400.0,150.0,Austria,,Retired,,Male,1,2013,No,1946.0
AT-011464-01,2015,150.0,0.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2015,No,1946.0
AT-011464-01,2017,200.0,30.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2017,No,1946.0
AT-020465-01,2004,400.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004,Yes,1947
AT-020465-01,2006,600.0,200.0,Austria,,Retired,,Male,2,2007.0,Yes,1947.0
AT-020465-01,2011,300.0,10.0,Austria,,Retired,,Male,2,2011.0,Yes,1947.0
AT-020465-01,2013,600.0,20.0,Austria,,Retired,,Male,2,2013,Yes,1947.0
AT-020465-01,2015,500.0,20.0,Austria,,Retired,,Male,2,2015,Yes,1947.0
AT-020465-01,2017,300.0,50.0,Austria,,Retired,,Male,1,2017,No,1947.0
AT-020895-01,2004,400.0,0.0,Austria,15.0,Employed or self-employed (including working for family business),58.0,Female,3,2004,No,1952
AT-020895-01,2006,400.0,200.0,Austria,,Employed or self-employed (including working for family business),,Female,4,2006.0,No,1952.0
AT-020895-01,2011,400.0,100.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2011.0,No,1952.0
AT-020895-01,2013,200.0,50.0,Austria,,Retired,,Female,2,2013,No,1952.0
AT-020895-01,2015,300.0,70.0,Austria,,Retired,,Female,2,2015,No,1952.0
AT-020895-01,2017,300.0,100.0,Austria,,Retired,,Female,2,2017,No,1952.0
AT-023465-01,2004,400.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Female,1,2004,No,1953
AT-024225-02,2004,400.0,130.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,2,2004,Yes,1958
AT-024225-02,2006,700.0,200.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2007.0,Yes,1958.0
AT-027751-01,2004,200.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004,Yes,1948
AT-027751-01,2011,300.0,50.0,Austria,,Retired,,Male,2,2011.0,Yes,1948.0
AT-053405-01,2004,600.0,100.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,2,2004,Yes,1950
AT-053405-01,2006,400.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1950.0
AT-066159-01,2004,800.0,200.0,Austria,11.0,Employed or self-employed (including working for family business),65.0,Male,2,2004,Yes,1951
AT-085347-01,2004,500.0,500.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,4,2004,Yes,1952
AT-096872-01,2004,800.0,150.0,Austria,17.0,Employed or self-employed (including working for family business),Don't know,Male,2,2004,Yes,1952
