mergeid,time,consumption_homefood,consumption_outhome,country,educ_year,job,exret,gender,hhsize,int_year,partnerinhh,yrbirth,gender_Female,gender_Male,job_Employed or self-employed (including working for family business),job_Homemaker,job_Permanently sick or disabled,job_Retired,job_Unemployed,country_Austria,country_Belgium,country_Denmark,country_France,country_Germany,country_Greece,country_Israel,country_Italy,country_Spain,country_Sweden,country_Switzerland,country_Austria.1,country_Belgium.1,country_Denmark.1,country_France.1,country_Germany.1,country_Greece.1,country_Israel.1,country_Italy.1,country_Spain.1,country_Sweden.1,country_Switzerland.1
AT-011464-01,2004,1.611562712266506,50.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2004.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2006,1.7411295468056076,250.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,2,2007.0,1,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2013,1.790335880924894,150.0,Austria,12.0,Retired,65.0,Male,1,2013.0,0,1946.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2015,1.611562712266506,0.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2015.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-011464-01,2017,1.6673892921414593,30.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2017.0,0,1946.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2004,1.790335880924894,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004.0,1,1947.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2006,1.8558181338804391,200.0,Austria,12.0,Retired,62.0,Male,2,2007.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2011,1.7411295468056076,10.0,Austria,12.0,Retired,62.0,Male,2,2011.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2013,1.8558181338804391,20.0,Austria,12.0,Retired,62.0,Male,2,2013.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2015,1.8269026656007323,20.0,Austria,12.0,Retired,62.0,Male,2,2015.0,1,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-020465-01,2017,1.7411295468056076,50.0,Austria,12.0,Retired,62.0,Male,1,2017.0,0,1947.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-027751-01,2004,1.6673892921414593,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004.0,1,1948.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-027751-01,2011,1.7411295468056076,50.0,Austria,12.0,Retired,62.0,Male,2,2011.0,1,1948.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-053405-01,2004,1.8558181338804391,100.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,2,2004.0,1,1950.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-053405-01,2006,1.790335880924894,100.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,2,2007.0,1,1950.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-106919-01,2004,1.8796299726944552,0.0,Austria,4.0,Employed or self-employed (including working for family business),60.0,Female,2,2004.0,1,1946.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-106919-01,2013,1.7411295468056076,50.0,Austria,4.0,Retired,60.0,Female,1,2013.0,0,1946.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-106919-01,2015,1.7411295468056076,20.0,Austria,4.0,Retired,60.0,Female,1,2015.0,0,1946.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-106919-01,2017,1.7411295468056076,100.0,Austria,4.0,Retired,60.0,Female,1,2017.0,0,1946.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-115757-01,2004,1.611562712266506,100.0,Austria,12.0,Employed or self-employed (including working for family business),64.0,Male,1,2004.0,0,1949.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-115757-01,2006,1.6673892921414593,20.0,Austria,12.0,Employed or self-employed (including working for family business),64.0,Male,1,2007.0,0,1949.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AT-115757-01,2011,1.7411295468056076,20.0,Austria,12.0,Retired,64.0,Male,1,2011.0,0,1949.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
